Song,Artist,Endurance_Score,Predicted_Endurance_Score,Entry_Position,Peak_Position,Total_Weeks,danceability,energy,key,loudness,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature,Movies_TV_feature_count,Oscars_won,Artist_lifetime_grammy_achievement,Artist_grammy_wins,Artist_grammy_nominations,artist popularity,TopSongsArtist,TopSongsArtist10,TopSongsArtist100,Entry_Year,days_before_charting,Age_Percentage_15_30
Novacane,FRANK OCEAN,0.843420759,0.867097282,82,82,4,0.764,0.509,3,-9.208,0.104,0.0726,0.000603,0.162,0.383,93.505,302347,4,0,0,0,2,7,88,0,0,7,2011,53,20.9
Good Feeling,FLO RIDA,0.942585477,0.838919312,82,82,1,0.706,0.89,1,-4.444,0.0688,0.0588,0.00286,0.306,0.684,128.011,248133,4,0,0,0,0,5,83,2,2,2,2011,0,20.9
Juicebox,THE STROKES,0.831232545,0.830378401,98,98,1,0.462,0.981,2,-2.371,0.127,0.00166,0.00894,0.0856,0.547,154.995,194573,4,0,0,0,0,0,79,0,0,1,2005,0,21
Blue On Black,KENNY WAYNE SHEPHERD BAND,0.837025687,0.716063786,81,78,10,0.412,0.676,7,-7.341,0.0266,0.00596,0.112,0.209,0.557,155.431,333733,4,0,0,0,0,5,58,0,0,1,1998,0,20.9
Best Friend's Brother,VICTORIOUS CAST featuring VICTORIA JUSTICE,0.86257559,0.819611374,93,86,4,0.613,0.917,8,-4.754,0.0637,0.000398,9.69E-06,0.159,0.77,140.001,218267,4,0,0,0,0,0,65,0,0,3,2011,0,20.9
Awake And Alive,SKILLET,0.908737922,0.811020283,100,100,1,0.434,0.939,4,-2.983,0.0593,0.0425,0,0.491,0.569,159.932,209493,4,0,0,0,0,2,79,0,0,0,2009,0,21
The Ghost Of You,MY CHEMICAL ROMANCE,0.891498688,0.810802937,84,84,1,0.202,0.886,11,-3.805,0.0816,0.0286,0,0.643,0.192,145.781,194253,4,0,0,0,0,0,80,0,1,6,2006,0,21
Dig,INCUBUS,0.861518541,0.824958127,99,94,3,0.45,0.895,11,-4.739,0.0386,0.0293,0,0.116,0.463,77.577,257253,4,0,0,0,0,1,76,0,1,3,2007,39,20.9
Strong,ONE DIRECTION,0.850521975,0.848144532,87,87,1,0.741,0.663,0,-7.308,0.0434,0.0608,0,0.0931,0.338,115.013,184373,4,0,0,0,0,0,87,0,5,16,2013,0,20.9
Made In The USA,DEMI LOVATO,0.898834427,0.856807449,80,80,1,0.496,0.86,8,-3.846,0.049,0.00157,0,0.319,0.599,174.916,196093,4,0,0,0,0,1,93,0,2,13,2013,0,20.9
Fistful Of Tears,MAXWELL,0.81528221,0.787619952,99,99,1,0.744,0.62,0,-6.995,0.0558,0.176,0,0.101,0.701,123.032,219267,3,0,0,0,3,13,65,0,1,6,2010,130,20.9
Didn't You Know How Much I Loved You,KELLIE PICKLER,0.818509025,0.766260228,97,97,1,0.525,0.795,9,-4.696,0.0402,0.245,0,0.098,0.25,137.881,285187,4,0,0,0,0,0,53,0,0,5,2010,0,20.9
The Pick Of Destiny,TENACIOUS D,0.819515619,0.807028405,78,78,1,0.623,0.938,0,-4.161,0.123,0.00296,0.000852,0.48,0.308,112.022,165960,4,1,0,0,1,2,69,0,0,1,2006,0,21
When A Woman Loves,R. KELLY,0.822613926,0.838133308,93,93,1,0.328,0.447,5,-5.647,0.0515,0.498,0,0.174,0.404,180.336,310560,3,0,0,0,0,0,88,0,6,12,2011,0,20.9
Danza Kuduro,DON OMAR &amp; LUCENZO,0.970880917,0.87601134,82,82,5,0.467,0.92,0,-4.78,0.239,0.0813,0,0.0494,0.849,130.012,198773,4,1,0,0,0,0,84,0,0,1,2011,0,20.9
"What A Catch, Donnie",FALL OUT BOY,0.82406714,0.82528235,94,94,1,0.481,0.712,5,-4.13,0.0362,0.0415,1.16E-06,0.206,0.425,127.948,290800,4,0,0,0,0,1,87,0,4,12,2008,0,21
Almost Unreal,ROXETTE,0.807258377,0.734553623,94,94,2,0.542,0.613,4,-5.724,0.025,0.0808,0,0.126,0.267,92.035,234813,4,0,0,0,0,0,73,4,1,6,1993,40,22.2
Watermelon Crawl,TRACY BYRD,0.830077809,0.698794616,87,81,5,0.778,0.701,0,-9.327,0.0285,0.17,0,0.128,0.964,136.733,181973,4,0,0,0,0,0,60,0,0,9,1994,88,21.8
Think Twice,CELINE DION,0.836324628,0.743353785,96,95,5,0.547,0.397,2,-10.463,0.0271,0.387,0,0.14,0.277,134.346,288000,4,0,0,0,5,16,78,1,3,6,1994,0,21.8
Knuck If You Buck,CRIME MOB,0.859167678,0.798806796,98,76,20,0.865,0.844,8,-4.946,0.311,0.0582,0,0.373,0.755,150.09,205120,4,0,0,0,0,0,55,0,0,1,2004,0,20.9
Take Your Shirt Off,T-PAIN,0.82863233,0.828254558,80,80,1,0.775,0.865,2,-1.677,0.275,0.0113,0,0.287,0.424,189.949,228893,4,0,0,0,2,13,83,0,1,2,2009,29,21
Waiting For The End,LINKIN PARK,0.903050713,0.759860498,96,96,1,0.487,0.961,4,-4.139,0.132,0.0415,1.15E-06,0.553,0.323,170.005,231680,4,0,0,0,2,6,57.77835159,0,3,13,2010,0,20.9
The Seashores Of Old Mexico,GEORGE STRAIT,0.814868395,0.781783455,86,85,7,0.496,0.579,6,-7.429,0.0336,0.164,0.000679,0.335,0.499,156.953,251333,3,0,0,0,1,16,76,0,0,29,2006,75,21
Under And Over It,FIVE FINGER DEATH PUNCH,0.87956421,0.871196601,77,77,1,0.468,0.996,11,-3.027,0.179,1.41E-05,0,0.26,0.094,75.978,218133,4,0,0,0,0,0,82,0,0,1,2011,0,20.9
Bad Girlfriend,THEORY OF A DEADMAN,0.877735139,0.838214628,98,98,1,0.504,0.957,0,-2.657,0.0529,0.00298,0,0.187,0.676,135.013,205627,4,0,0,0,0,0,76,0,0,2,2008,136,21
Called Out In The Dark,SNOW PATROL,0.823751081,0.8505505,78,78,1,0.739,0.699,0,-4.631,0.0308,0.0221,6.48E-06,0.0973,0.962,120.018,241933,4,1,0,0,0,0,75,0,1,2,2012,148,20.9
"What Up, What's Haapnin'",T.I.,0.814603229,0.835714481,84,84,1,0.416,0.854,1,-4.34,0.0908,0.0127,0,0.416,0.102,142.948,301293,4,0,0,0,0,0,83,1,3,11,2008,18,21
Get Me Bodied,BEYONCE,0.841373564,0.839115368,89,89,3,0.865,0.829,0,-6.981,0.315,0.0673,0,0.253,0.651,96.511,205813,4,0,0,0,22,62,92,2,4,16,2007,67,20.9
Face Down,THE RED JUMPSUIT APPARATUS,0.904509596,0.847384221,93,76,12,0.545,0.932,7,-2.189,0.0399,0.000665,0,0.127,0.465,92.956,192000,4,2,0,0,0,0,67,0,0,2,2006,0,21
Our Time Now,PLAIN WHITE T'S,0.83094295,0.837027651,90,90,1,0.585,0.921,0,-4.45,0.0352,0.0144,6.21E-06,0.368,0.915,102.947,170213,4,1,0,0,0,0,71,1,0,2,2008,74,21
The Crow And The Butterfly,SHINEDOWN,0.840325365,0.825287425,97,97,1,0.319,0.781,5,-3.496,0.0329,0.0013,0,0.0944,0.238,149.002,253600,3,0,0,0,0,0,77,0,0,5,2010,0,20.9
Stepped On My J'z,NELLY featuring CIARA &amp; JD,0.812984437,0.791972333,90,90,1,0.692,0.776,4,-4.374,0.0791,0.118,0,0.185,0.732,79.02,277360,4,0,0,0,3,12,80,0,0,1,2008,0,21
I Like How It Feels,ENRIQUE IGLESIAS featuring PITBULL &amp; THE WAV.S,0.853523043,0.838250878,76,76,1,0.593,0.858,9,-3.749,0.103,0.0111,0,0.163,0.734,127.997,219664,4,0,0,0,1,4,85,0,0,1,2011,0,20.9
Shake Up Christmas,TRAIN,0.884880451,0.837722669,99,99,1,0.469,0.813,0,-2.962,0.0535,0.00256,0,0.361,0.583,80.999,233547,4,0,0,0,1,4,79,0,2,9,2011,68,20.9
Ain't Got No; I Got Life,NINA SIMONE,0.85526248,0.644309625,104,94,7,0.557,0.632,7,-11.072,0.111,0.442,2.24E-05,0.833,0.692,115.097,127800,4,0,0,1,0,2,73,0,0,5,1968,0,23.1
Into The Great Wide Open,TOM PETTY AND THE HEARTBREAKERS,0.830175218,0.69677851,99,92,5,0.602,0.57,4,-9.701,0.0233,0.241,0,0.182,0.71,82.22,223333,4,0,0,0,3,18,78,0,1,14,1991,0,23
Flipside,FREEWAY featuring PEEDI CRAKK,0.803205404,0.726904064,95,95,3,0.524,0.966,6,-2.75,0.456,0.106,0,0.19,0.67,86.487,236707,1,0,0,0,0,0,54,0,0,1,2003,0,20.9
Westside Story,THE GAME,0.813019582,0.786248566,99,99,2,0.876,0.657,11,-3.981,0.284,0.166,0,0.267,0.944,86.998,223067,4,0,0,0,0,0,80,0,1,1,2004,0,20.9
The Fear,LILY ALLEN,0.839620624,0.854682499,99,80,6,0.661,0.847,10,-6.948,0.0404,0.419,8.82E-05,0.107,0.522,134.002,207120,4,2,0,0,0,1,75,0,0,3,2009,0,21
Almost Is Never Enough,ARIANA GRANDE featuring NATHAN SYKES,0.898058098,0.855791314,84,84,1,0.4,0.337,2,-7.404,0.0355,0.831,0,0.0934,0.352,108.196,327773,5,0,0,0,0,4,91,0,0,1,2013,0,20.9
Let's Get Crazy,HANNAH MONTANA,0.817487261,0.793375853,75,75,2,0.724,0.91,7,-3.472,0.0537,0.00272,1.22E-05,0.346,0.849,124.984,155600,4,0,0,0,0,0,70,0,0,14,2009,32,21
Sweetness,JIMMY EAT WORLD,0.84422452,0.809188438,79,75,14,0.491,0.888,5,-4.412,0.038,0.00407,0,0.286,0.656,135.253,220027,4,0,0,0,0,0,72,0,1,1,2002,61,20.8
