Title,Artist,Entry_Date,Entry_Position,Peak_Position,Total_Weeks,Popularity,Youtube viewcount,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature,Movies_TV_feature_count,Oscars_won,Artist_lifetime_grammy_achievement,Artist_grammy_wins,Artist_grammy_nominations,Song_release_date,Genres
Walk On The Wild Side,LOU REED,73,92,16,14,72,35331472,0.575,0.318,0.0,-16.729,1.0,0.109,0.6829999999999999,0.000202,0.0934,0.385,104.522,254173.0,4.0,0,0,0,1,2,"NovemberÂ 8,Â 1972",
The Cover Of Rolling Stone,DR. HOOK AND THE MEDICINE SHOW,72,100,6,20,51,8460290,0.648,0.472,9.0,-13.103,1.0,0.102,0.35700000000000004,0.0,0.313,0.907,142.184,172093.0,4.0,0,0,0,0,0,November 1972,
Wildflower,SKYLARK,73,99,9,21,32,3499373,0.457,0.334,5.0,-13.431,1.0,0.0299,0.467,0.00483,0.126,0.462,126.38,250400.0,4.0,0,0,0,0,0,February 1973,
Hummingbird,B.B. KING,70,119,48,8,45,201495,0.524,0.59,3.0,-9.219,1.0,0.0401,0.53,2.56e-05,0.0675,0.6779999999999999,162.312,280547.0,4.0,0,0,1,0,0,"The Record Plant,",
Reeling In The Years,STEELY DAN,73,82,11,16,37,3639199,0.527,0.758,2.0,-10.294,1.0,0.0403,0.135,0.0,0.0808,0.77,135.2,278800.0,4.0,0,0,0,3,9,March 1973,
Out Of The Question,GILBERT O'SULLIVAN,73,81,17,15,15,159234,0.535,0.7170000000000001,10.0,-6.737,1.0,0.0385,0.486,2.6600000000000006e-05,0.146,0.846,205.359,177987.0,4.0,0,0,0,0,0,February 1973,
One Man Band (Plays All Alone),RONNIE DYSON,73,89,28,13,7,103455,0.384,0.631,5.0,-10.598,1.0,0.0377,0.38,5.93e-06,0.173,0.748,174.679,221507.0,4.0,0,0,0,0,0,1973,
A Letter To Myself,THE CHI-LITES,73,85,33,11,27,852963,0.512,0.477,9.0,-10.122,1.0,0.0327,0.6779999999999999,4.06e-05,0.0936,0.502,130.63299999999998,335213.0,4.0,0,0,0,0,0,0,
Hallelujah Day,JACKSON 5,73,85,28,10,17,41310,0.6829999999999999,0.959,0.0,-2.215,1.0,0.0652,0.129,0.0,0.29600000000000004,0.892,126.933,167240.0,4.0,0,0,0,0,2,December 1984,
Cook With Honey,JUDY COLLINS,73,90,32,11,22,34642,0.488,0.378,2.0,-11.727,1.0,0.0301,0.8909999999999999,0.0,0.101,0.753,148.34,211267.0,4.0,0,0,0,1,6,1964-75,
