Song,Artist,Endurance_Score,Predicted_Endurance_Score,Entry_Position,Peak_Position,Total_Weeks,danceability,energy,key,loudness,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature,Movies_TV_feature_count,Oscars_won,Artist_lifetime_grammy_achievement,Artist_grammy_wins,Artist_grammy_nominations,artist popularity,TopSongsArtist,TopSongsArtist10,days_before_charting,TopSongsArtist100,Entry_Year,Age_Percentage_15_30
Getting Mighty Crowded,BETTY EVERETT,0.614529964,0.453085875,98,65,6,0.61,0.47,5,-11.599,0.0513,0.863,0.00121,0.236,0.809,124.564,138266,4,0,0,0,0,0,41,0,0,0,5,1964,21.2
Hummingbird,B.B. KING,0.7181981,0.636250532,119,48,8,0.524,0.59,3,-9.219,0.0401,0.53,2.56E-05,0.0675,0.678,162.312,280547,4,0,0,1,0,0,69,0,0,0,22,1970,24
Crosstown Traffic,THE JIMI HENDRIX EXPERIENCE,0.780886794,0.787354826,73,52,8,0.486,0.963,0,-5.586,0.129,0.248,2.39E-06,0.158,0.533,113.133,146573,4,1,0,1,0,0,77,0,0,0,4,1968,23.1
Stay Away,ELVIS PRESLEY,0.586114219,0.606273899,83,67,5,0.807,0.501,1,-12.117,0.0886,0.528,7.36E-06,0.0517,0.632,110.494,98680,4,0,0,1,3,14,82,2,13,0,48,1968,23.1
Francene,ZZ TOP,0.577207942,0.691111631,89,69,9,0.498,0.804,0,-9.236,0.0359,0.43,0.0105,0.182,0.508,127.332,212533,4,0,0,0,0,2,73,0,2,0,12,1972,25.3
Sinner Not A Saint,TRINI LOPEZ,0.572591576,0.340332881,132,132,1,0.793,0.832,5,-3.833,0.0449,0.708,1.93E-05,0.637,0.984,145.287,152467,4,0,0,0,0,1,45,0,1,0,10,1964,21.2
Vivir Mi Vida,MARC ANTHONY,0.960781163,0.844801747,100,100,1,0.655,0.877,0,-3.23,0.0344,0.344,0,0.349,0.893,105.017,252347,4,0,0,0,2,8,82,0,2,0,2,2013,20.9
Tip It On Back,DIERKS BENTLEY,0.799145323,0.807197308,99,99,1,0.503,0.78,3,-5.148,0.0323,0.522,0.16,0.138,0.737,137.936,206520,4,0,0,0,0,14,77,0,0,0,20,2012,20.9
"Someday, Someway",MARSHALL CRENSHALL,0.729402481,0.648833461,108,36,14,0.561,0.928,9,-5.216,0.166,0.113,0,0.173,0.882,154.914,169533,4,0,0,0,0,0,57.77835159,0,0,0,1,1982,27.1
Another Postcard (Chimps),BARENAKED LADIES,0.625891477,0.784648016,95,82,15,0.621,0.747,1,-6.552,0.0782,0.00227,0.000234,0.0449,0.726,172.31,205267,4,0,0,0,0,2,65,1,0,46,5,2003,20.9
Freak On A Leash (Unplugged),KORN featuring AMY LEE,0.801758199,0.821716287,89,89,1,0.422,0.786,2,-6.952,0.368,0.23,4.98E-06,0.987,0.196,107.973,248973,4,0,0,0,2,8,78,0,0,0,1,2007,20.9
All About Soul,BILLY JOEL,0.737429228,0.78120409,67,29,20,0.555,0.86,2,-5.965,0.038,0.0386,0,0.325,0.468,108.594,361307,4,0,0,0,5,23,79,3,7,0,24,1993,22.2
My Immortal,EVANESCENCE,0.945477343,0.891976784,70,7,32,0.186,0.29,9,-9.008,0.0333,0.862,0,0.13,0.0776,68.992,262533,4,0,0,0,2,6,77,0,1,33,1,2004,20.9
Beautiful Pain,EMINEM featuring SIA,0.8548598,0.842844636,99,99,1,0.691,0.815,6,-4.532,0.443,0.0561,0,0.133,0.415,165.342,265025,4,0,0,0,15,43,95,0,0,0,2,2013,20.9
If You Love Me (Like You Say),LITTLE JOHNNY TAYLOR,0.207336807,0.458776633,103,101,6,0.837,0.676,5,-8.114,0.0492,0.419,0.0262,0.1,0.965,117.504,181640,4,0,0,0,0,1,57.77835159,0,0,0,2,1964,21.2
Guns For Hire,AC/DC,0.765701,0.74138947,95,84,5,0.488,0.905,9,-3.789,0.0485,0.00351,0.373,0.0685,0.805,128.472,204680,4,0,0,0,0,0,85,0,0,0,7,1983,26.8
It's Going To Take Some Time,THE CARPENTERS,0.696104908,0.70640588,79,12,10,0.592,0.15,5,-16.424,0.0362,0.952,0.175,0.111,0.261,117.467,176054,3,0,0,0,0,0,70,0,3,0,7,1972,25.3
Bang Your Head (Metal Health),QUIET RIOT,0.841790911,0.793731633,72,31,12,0.494,0.933,2,-5.977,0.0808,0.0434,0.00108,0.228,0.507,121.201,316867,4,2,0,0,0,0,63,0,1,0,3,1984,26.6
How To Hate,LIL WAYNE featuring T-PAIN,0.813545087,0.837464294,84,84,1,0.401,0.753,7,-5.851,0.105,0.27,0,0.61,0.277,145.373,278520,4,0,0,0,5,24,93,0,1,0,1,2011,20.9
Break It To Me Gently,JUICE NEWTON,0.669985475,0.751288695,74,11,17,0.264,0.361,4,-13.375,0.0282,0.439,1.39E-06,0.222,0.467,177.235,243733,3,0,0,0,1,5,52,0,4,0,4,1982,27.1
When The Feeling Comes Around,JENNIFER WARNES,0.552725262,0.628737614,83,45,8,0.618,0.487,2,-11.592,0.0827,0.508,0,0.0595,0.857,118.16,197067,4,0,0,0,2,2,65,0,1,0,5,1980,27.4
Summer Strut,SPYRO GYRA,0.610039478,0.510669277,108,108,1,0.73,0.716,2,-10.722,0.0445,0.0486,0.769,0.0475,0.963,105.023,305160,4,0,0,0,0,13,49,0,0,0,4,1981,27.3
You Can't Take The Honky Tonk Out Of The Girl,BROOKS &amp; DUNN,0.736960787,0.800621859,77,39,20,0.574,0.949,5,-2.799,0.0383,0.00881,3.82E-05,0.277,0.755,114.271,208933,4,0,0,0,0,0,70,0,0,0,20,2003,20.9
Feel So Bad,RAY CHARLES,0.261088123,0.524834105,99,68,8,0.512,0.726,10,-7.463,0.0726,0.747,0.000487,0.432,0.855,91.895,174213,4,0,0,1,17,37,57.77835159,2,6,0,18,1971,24.7
Let's Lay Together,ISLEY BROTHERS,0.743267803,0.671670783,94,93,5,0.634,0.434,3,-11.365,0.0381,0.599,0.00131,0.234,0.452,115.754,272427,4,0,0,1,1,4,69,0,2,60,15,1996,21.2
Both Sides Of The Story,PHIL COLLINS,0.733173042,0.794313201,80,25,17,0.524,0.706,8,-6.91,0.0427,0.0383,0.000111,0.0737,0.425,127.645,403920,4,0,0,0,8,27,79,5,4,0,10,1993,22.2
Electric Blue,ICEHOUSE,0.76897345,0.78553594,88,7,21,0.692,0.905,10,-4.763,0.0353,0.0626,2.09E-06,0.102,0.667,109.705,263680,4,0,0,0,0,0,54,0,1,0,3,1988,24.5
Love Me With All Your Heart,RAY CHARLES SINGERS,0.575651932,0.675220593,99,3,15,0.307,0.522,9,-10.226,0.0374,0.809,0,0.0765,0.654,200.596,140480,3,0,0,1,17,37,41,0,1,0,2,1964,21.2
Get A Life,SOUL II SOUL,0.711120999,0.675063755,94,54,11,0.761,0.715,10,-11.699,0.0669,0.00321,0.0989,0.0484,0.715,101.132,224173,4,0,0,0,2,4,54,0,1,0,3,1990,23.5
Why Did You Leave Me,VINCE EDWARDS,0.137015802,0.412056619,82,68,6,0.759,0.641,0,-5.794,0.0397,0.756,0,0.283,0.742,128.882,209162,4,0,0,0,0,0,57.77835159,0,0,0,1,1962,20.2
Never Had A Dream Come True,S CLUB 7,0.797915223,0.825415666,61,10,20,0.642,0.547,5,-5.481,0.0283,0.487,0,0.0923,0.456,122.951,240640,4,0,0,0,0,0,63,0,2,96,0,2001,20.9
"Sexy, Sexy, Sexy",JAMES BROWN,0.348063132,0.570769897,91,50,8,0.953,0.769,4,-4.478,0.0548,0.195,0.334,0.066,0.952,127.23,188267,4,0,0,1,0,4,59,0,3,0,47,1973,25.8
Counting The Days,JOEY KID,0.509151642,0.543442261,95,70,12,0.654,0.92,6,-12.435,0.0604,0.00527,0.000621,0.27,0.718,118.368,233040,4,0,0,0,0,0,10,0,0,0,1,1990,23.5
We're Gonna Make It,LITTLE MILTON,0.654920536,0.592903183,89,25,11,0.582,0.524,2,-12.606,0.0635,0.694,0,0.364,0.801,112.864,161600,4,0,0,0,0,2,39,0,0,0,5,1965,21.7
Do It Again A Little Bit Slower,JON AND ROBIN AND THE ON CROWD,0.232452056,0.60371166,133,18,13,0.549,0.409,9,-9.777,0.0383,0.533,0,0.136,0.719,147.169,155640,4,0,0,0,0,0,57.77835159,0,0,0,1,1967,22.5
Doing It All For My Baby,HUEY LEWIS AND THE NEWS,0.760900203,0.768415431,63,6,16,0.638,0.785,0,-6.143,0.0297,0.206,0,0.105,0.751,137.444,219507,3,0,0,0,1,6,68,3,7,19,7,1987,25
"Theme From ""Endless Summer""",THE VENTURES,0.669749505,0.47404656,134,106,6,0.685,0.562,7,-7.086,0.0273,0.768,0.904,0.076,0.279,115.687,197005,4,0,0,0,0,0,52,0,2,0,2,1967,22.5
What'd You Come Here For?,TRINA  &amp; TAMARA,0.50291631,0.61275913,98,56,12,0.817,0.625,1,-3.643,0.0719,0.0508,0.00123,0.058,0.759,102.907,246000,4,0,0,0,0,0,13,0,0,0,1,1999,21
It Happened Today,THE SKYLINERS,0.599133691,0.452529401,114,59,10,0.416,0.626,1,-6.243,0.0313,0.417,0,0.0875,0.867,81.106,107842,4,0,0,0,0,0,57.77835159,0,0,0,1,1959,19.6
"Yank Me, Crank Me",TED NUGENT,0.584476949,0.684937322,81,58,7,0.367,0.94,2,-6.778,0.0726,0.285,0.0446,0.981,0.112,139.591,278267,4,0,0,0,0,0,63,0,0,0,5,1978,27.3
Good Little Girls,BLUE COUNTY,0.672823672,0.656608214,77,63,7,0.668,0.808,2,-5.26,0.0384,0.0193,0,0.0294,0.778,122.001,181800,3,0,0,0,0,0,20,0,0,0,1,2004,20.9
Dance With You,CARRIE LUCAS,0.49306994,0.58616632,103,70,9,0.73,0.68,11,-6.89,0.0352,0.00232,4.04E-06,0.0662,0.825,128.517,203613,4,0,0,0,0,0,28,0,0,0,1,1979,27.4
