,Title,Artist,Entry_Date,Entry_Position,Peak_Position,Total_Weeks,Popularity,Youtube viewcount,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature,Movies_TV_feature_count,Oscars_won,Artist_lifetime_grammy_achievement,artist popularity,TopSongsArtist,TopSongsArtist10,TopSongsArtist100
42,Like Long Hair,PAUL REVERE AND THE RAIDERS,3/20/1961,119,38,7,3,27160,0.36,0.9390000000000001,0.0,-10.377,1.0,0.0365,0.8,0.841,0.0841,0.7,85.48299999999999,115360.0,4.0,0,0,0,48.0,0,1,3
43,Brass Buttons,STRING-A-LONGS,3/27/1961,80,35,7,4,364,0.713,0.355,11.0,-14.35,1.0,0.0745,0.789,0.721,0.10400000000000001,0.932,133.416,124760.0,4.0,0,0,0,24.0,0,0,1
44,To Be Loved,PENTAGONS,2/20/1961,84,48,10,29,407749,0.512,0.38,5.0,-8.275,1.0,0.0248,0.8220000000000001,0.0,0.0978,0.6,68.04899999999999,149160.0,4.0,0,0,0,25.0,0,0,1
45,The Second Time Around,FRANK SINATRA,3/6/1961,86,50,7,25,155767,0.24600000000000002,0.209,0.0,-12.083,1.0,0.0319,0.907,0.0,0.135,0.152,86.12,180467.0,3.0,1,0,1,82.0,0,0,19
46,Funny,JOE HINTON,8/15/1964,84,13,12,4,70258,0.41700000000000004,0.406,10.0,-9.005,1.0,0.0303,0.132,0.0,0.165,0.0978,102.458,186107.0,3.0,0,0,0,8.0,0,0,3
47,I'm In The Mood For Love,CHIMES,3/27/1961,92,38,9,5,151212,0.292,0.64,1.0,-8.033,1.0,0.0308,0.773,0.000202,0.19699999999999998,0.815,203.99400000000003,149293.0,3.0,0,0,0,32.0,0,0,1
48,Ain't It Baby,MIRACLES,3/27/1961,85,49,6,8,8246,0.535,0.812,2.0,-7.602,1.0,0.0549,0.7809999999999999,0.0,0.193,0.871,132.232,155240.0,4.0,0,0,0,51.0,1,0,12
49,Lazy River,BOBBY DARIN,2/6/1961,94,14,10,31,210296,0.48100000000000004,0.634,8.0,-1.91,1.0,0.037000000000000005,0.6609999999999999,0.0,0.0799,0.5479999999999999,133.569,152320.0,4.0,0,0,1,64.0,1,6,14
50,Bumble Boogie,B. BUMBLE AND THE STINGERS,3/20/1961,104,21,11,6,341346,0.541,0.754,4.0,-11.9,1.0,0.0456,0.716,0.903,0.0931,0.802,171.188,134827.0,4.0,0,0,0,21.0,0,0,3
51,Baby Sittin' Boogie,BUZZ CLIFFORD,1/9/1961,96,6,14,4,73973,0.47600000000000003,0.679,1.0,-7.001,1.0,0.107,0.8009999999999999,0.0,0.257,0.812,139.291,124653.0,4.0,0,0,0,16.0,0,1,0
52,The Continental Walk,HANK BALLARD,4/3/1961,73,33,8,16,8072,0.722,0.45399999999999996,1.0,-10.849,1.0,0.0527,0.633,1.47e-05,0.174,0.82,111.292,222733.0,3.0,0,0,0,25.0,0,2,6
53,Your One And Only Love,JACKIE WILSON,3/13/1961,100,40,6,3,22711,0.34,0.369,10.0,-9.975,1.0,0.0301,0.8370000000000001,1.01e-06,0.136,0.469,109.959,165867.0,1.0,0,0,0,64.0,0,4,28
54,Merry-Go-Round,MARV JOHNSON,3/6/1961,107,61,7,3,34838,0.645,0.42100000000000004,9.0,-9.28,0.0,0.0273,0.8420000000000001,3.59e-05,0.0923,0.9109999999999999,99.448,156280.0,3.0,0,0,0,27.0,0,2,5
55,Frogg,BROTHERS FOUR,4/3/1961,118,32,6,18,65910,0.534,0.298,1.0,-16.544,1.0,0.12300000000000001,0.8059999999999999,1.94e-06,0.11599999999999999,0.726,177.467,161533.0,4.0,0,0,0,45.0,0,1,3
56,Sleepy Eyed John,JOHNNY HORTON,3/27/1961,89,54,7,31,142556,0.653,0.578,0.0,-13.647,1.0,0.0974,0.52,0.0,0.0711,0.866,103.166,159307.0,4.0,0,0,0,52.0,0,3,5
57,The Very Thought Of You,RICK NELSON,4/18/1964,107,26,8,0,2412,0.49700000000000005,0.0753,5.0,-17.66,0.0,0.0357,0.9670000000000001,0.856,0.10400000000000001,0.444,73.92399999999999,235400.0,4.0,0,0,0,57.77835159102765,0,1,2
58,Ling-Ting-Tong,BUDDY KNOX,3/6/1961,97,65,7,11,53740,0.6990000000000001,0.45899999999999996,9.0,-12.138,1.0,0.0317,0.531,0.0,0.157,0.9359999999999999,134.814,145573.0,4.0,0,0,0,40.0,0,0,4
59,Foolin' Around,CHANGING FACES,11/19/1994,96,38,20,38,3621653,0.591,0.574,5.0,-8.276,0.0,0.0269,0.228,1.4300000000000002e-05,0.0794,0.22899999999999998,131.495,268160.0,4.0,0,0,0,46.0,0,2,2
60,The Watusi,VIBRATIONS,2/13/1961,107,25,9,9,57759,0.633,0.682,1.0,-6.14,1.0,0.0321,0.466,9.19e-05,0.561,0.831,129.804,154027.0,4.0,0,0,0,23.0,0,0,1
61,Welcome Home,WALTER JACKSON,5/8/1965,134,95,8,9,71073,0.452,0.37799999999999995,4.0,-11.405999999999999,1.0,0.0303,0.759,0.0,0.115,0.585,125.34700000000001,162440.0,4.0,0,0,0,23.0,0,0,4
62,Trees,THE PLATTERS,3/20/1961,114,62,6,7,18931,0.335,0.226,3.0,-12.422,1.0,0.0335,0.899,1.59e-06,0.0901,0.272,126.32799999999999,148827.0,4.0,0,0,0,63.0,0,0,8
63,Running Scared,ROY ORBISON,4/10/1961,71,1,17,49,111717,0.5720000000000001,0.392,9.0,-10.555,1.0,0.0325,0.778,0.00043499999999999995,0.15,0.381,128.255,132040.0,3.0,0,0,1,71.0,2,6,15
64,Seventeen,WINGER,2/25/1989,78,26,16,52,7179592,0.5770000000000001,0.6759999999999999,8.0,-11.931,1.0,0.0295,0.000895,2.29e-06,0.0625,0.6759999999999999,95.98,245267.0,4.0,0,0,0,52.0,0,0,4
65,Exodus,BOB MARLEY AND THE WAILERS,8/13/1977,103,103,5,51,2454572,0.8690000000000001,0.735,7.0,-8.501,1.0,0.0552,0.0296,0.00339,0.163,0.9440000000000001,132.821,460227.0,4.0,0,0,1,84.0,0,0,0
66,When I Fall In Love,CELINE DION &amp; CLIVE GRIFFIN,7/17/1993,80,23,20,39,220881,0.19,0.24100000000000002,8.0,-13.251,1.0,0.0322,0.5770000000000001,0.0,0.0952,0.107,68.35300000000001,260827.0,4.0,1,0,0,78.0,0,0,1
67,Little Pedro,THE OLYMPICS,3/13/1961,102,76,6,0,987,0.63,0.741,0.0,-8.361,1.0,0.0884,0.48100000000000004,0.0,0.184,0.852,81.03,142373.0,4.0,0,0,0,27.0,0,0,7
68,The Blizzard,JIM REEVES,3/13/1961,107,62,5,31,1442116,0.624,0.20199999999999999,0.0,-18.465999999999998,1.0,0.0412,0.841,0.00349,0.106,0.48100000000000004,126.72,202493.0,4.0,0,0,0,58.0,0,1,12
69,What'd I Say,RAY CHARLES,6/29/1959,113,6,16,58,2857509,0.54,0.6809999999999999,4.0,-5.44,1.0,0.0508,0.8079999999999999,0.0,0.162,0.794,88.385,307053.0,4.0,0,0,1,57.77835159102765,2,6,18
70,Glory Of Love,DON GARDNER &amp; DEE DEE FORD,8/11/1962,99,75,7,0,18802,0.743,0.271,1.0,-10.84,1.0,0.0383,0.9079999999999999,4.47e-05,0.121,0.428,107.95100000000001,197040.0,4.0,0,0,0,14.0,0,0,3
71,Triangle,JANIE GRANT,3/27/1961,96,29,13,10,64483,0.674,0.59,0.0,-8.735,1.0,0.0445,0.306,2.04e-06,0.0884,0.843,121.33,145093.0,4.0,0,0,0,9.0,0,0,2
72,Bonanza,JOHNNY CASH,9/15/1962,94,94,2,31,694595,0.5479999999999999,0.49200000000000005,3.0,-10.72,1.0,0.0287,0.898,0.0393,0.152,0.802,102.62,140307.0,4.0,0,0,1,80.0,0,1,27
73,Underwater,FROGMEN,4/3/1961,93,44,8,13,13519,0.491,0.909,0.0,-5.21,1.0,0.0406,0.654,0.9420000000000001,0.0802,0.9229999999999999,143.415,125920.0,4.0,0,0,0,10.0,0,0,1
74,I'll Just Have A Cup Of Coffee (Then I'll Go),CLAUDE GRAY,3/13/1961,119,84,6,1,81395,0.6920000000000001,0.366,10.0,-16.514,1.0,0.0343,0.759,0.0925,0.364,0.7,113.01100000000001,131987.0,4.0,0,0,0,10.0,0,0,2
75,Come Along,MAURICE WILLIAMS &amp; THE ZODIACS,4/10/1961,87,83,2,13,1099,0.5429999999999999,0.662,10.0,-8.164,1.0,0.0572,0.7440000000000001,0.0,0.233,0.7290000000000001,121.90100000000001,102653.0,4.0,0,0,0,49.0,0,0,1
76,La Pachanga,AUDREY ARNO &amp; THE HAZY OSTERWALD SEXTET,4/3/1961,114,87,3,0,2086,0.44799999999999995,0.866,2.0,-5.3870000000000005,1.0,0.23600000000000002,0.5539999999999999,0.0,0.48200000000000004,0.866,124.12299999999999,155016.0,4.0,0,0,0,1.0,0,0,1
77,Lullaby Of Love,FRANK GARI,4/10/1961,89,23,12,0,2211,0.335,0.0329,9.0,-23.596999999999998,0.0,0.0399,0.98,0.22,0.10800000000000001,0.136,123.396,255773.0,4.0,0,0,0,57.77835159102765,0,0,2
78,Mr. Pride,CHUCK JACKSON,4/10/1961,91,91,2,0,5335,0.382,0.462,0.0,-11.579,1.0,0.0365,0.971,1.1900000000000001e-05,0.361,0.693,96.36399999999999,145322.0,3.0,0,0,0,57.77835159102765,0,0,6
79,A Scottish Soldier,ANDY STEWART,6/19/1961,83,69,3,13,982368,0.392,0.289,3.0,-14.878,1.0,0.0518,0.91,0.0,0.142,0.5710000000000001,84.488,211147.0,3.0,0,0,0,30.0,0,0,2
80,I Told You So,KEITH URBAN,5/26/2007,94,48,16,43,266417,0.627,0.841,1.0,-5.885,0.0,0.0316,0.00788,1.47e-06,0.0552,0.73,105.995,242760.0,4.0,0,0,0,78.0,0,0,30
81,Come On Over,SHANIA TWAIN,10/23/1999,74,58,10,44,4852668,0.618,0.92,11.0,-4.529,1.0,0.0457,0.11199999999999999,0.0,0.691,0.966,76.512,173507.0,4.0,0,0,0,75.0,0,3,15
82,Saved,LaVERN BAKER,4/10/1961,95,37,7,24,77248,0.608,0.6,10.0,-12.372,1.0,0.0527,0.575,0.0,0.43700000000000006,0.932,145.735,174733.0,4.0,0,0,0,46.0,0,1,4
