Title,Artist,Entry_Date,Entry_Position,Peak_Position,Total_Weeks,Popularity,Movies_TV_feature_count,Oscars_won,Artist_lifetime_grammy_achievement,Artist_grammy_wins,Artist_grammy_nominations
I Believe In Love,KENNY LOGGINS,7/30/77,95,66,11,26,0,0,0,2,12
Good Morning Judge,10CC,8/6/77,93,69,8,30,0,0,0,0,0
Don't It Make My Brown Eyes Blue,CRYSTAL GAYLE,8/13/77,90,2,26,45,0,0,0,1,11
Sheena Is A Punk Rocker,THE RAMONES,7/2/77,99,81,13,57,0,0,0,0,0
My Cherie Amour,STEVIE WONDER,5/31/69,70,4,14,52,2,0,1,25,74
For A While,MARY MacGREGOR,8/6/77,97,90,4,9,0,0,0,0,0
Let's Clean Up The Ghetto,THE PHILADELPHIA INTERNATIONAL ALL STARS,8/13/77,94,91,4,36,0,0,0,0,0
Funk It Up (David's Song),SWEET,8/13/77,95,88,5,9,0,0,0,0,0
Make It With You,BREAD,6/12/70,96,1,17,61,0,0,0,0,1
Since I Fell For You / I'm Falling In Love (Medley),"HODGES, JAMES AND SMITH",7/9/77,97,96,6,-1,0,0,0,0,0
"Sing It, Shout It",STARZ,6/25/77,83,66,8,10,0,0,0,0,0
Livin' In The Life,THE ISLEY BROTHERS,6/25/77,78,40,8,27,0,0,1,0,0
Life In The Fast Lane,THE EAGLES,5/14/77,73,11,14,69,0,0,0,0,0
Vitamin U,SMOKEY ROBINSON,8/6/77,102,101,2,4,0,0,1,1,5
Rolling With The Flow,CHARLIE RICH,8/27/77,101,101,11,-1,0,0,0,1,7
"Theme From ""New York, New York""",LIZA MINNELLI,8/13/77,104,104,1,37,0,0,0,0,2
A Song In The Night,JOHNNY DUNCAN,8/13/77,105,105,1,8,0,0,0,0,1
Love And Happiness,AL GREEN,7/30/77,107,104,6,61,0,0,1,11,21
Lady Of Magic,MAZE featuring FRANKIE BEVERLEY,8/13/77,108,108,1,-1,0,0,0,0,0
Funky Music,THE JU-PAR UNIVERSAL ORCHESTRA,7/16/77,104,101,6,-1,0,0,0,0,0
"Theme From ""Star Wars""",DAVE MATTHEWS,7/16/77,109,102,7,-1,0,0,0,0,1
Every Breath You Take,THE POLICE,6/4/83,36,1,22,71,0,0,0,0,0
Sweet Dreams (Are Made Of This),THE EURYTHMICS,5/14/83,90,1,26,0,0,0,0,0,0
She Works Hard For The Money,DONNA SUMMER,5/28/83,67,3,21,47,2,0,0,5,18
Maniac,MICHAEL SEMBELLO,6/4/83,89,1,22,55,2,0,0,1,7
Is There Something I Should Know,DURAN DURAN,6/4/83,57,4,17,31,0,0,0,2,2
Stand Back,STEVIE NICKS,6/4/83,60,5,19,52,0,0,0,2,15
It's A Mistake,MEN AT WORK,7/2/83,42,6,15,50,0,0,0,0,0
(Keep Feeling) Fascination,THE HUMAN LEAGUE,5/28/83,72,8,20,45,3,0,0,0,0
Puttin' On The Ritz,TACO,6/25/83,75,4,21,46,0,0,0,0,0
Hot Girls In Love,LOVERBOY,6/11/83,60,11,16,38,0,0,0,0,0
China Girl,DAVID BOWIE,6/4/83,74,10,18,53,1,0,1,5,19
I'll Tumble 4 Ya,CULTURE CLUB,7/2/83,64,9,16,45,1,0,0,1,2
Rock Of Ages,DEF LEPPARD,6/11/83,75,16,15,61,1,0,0,0,0
Wanna Be Startin' Somethin',MICHAEL JACKSON,5/28/83,41,5,15,60,1,0,1,13,38
**1999**,PRINCE,6/4/83,70,12,16,60,0,0,0,7,38
Take Me To Heart,QUARTERFLASH,6/18/83,59,14,16,25,0,0,0,0,0
Saved By Zero,THE FIXX,5/28/83,80,20,16,42,0,0,0,0,0
Rock'n'Roll Is King,ELO,6/25/83,57,19,13,-1,0,0,0,0,0
The Safety Dance,MEN WITHOUT HATS,6/25/83,90,3,24,55,10,0,0,0,1
Lawyers In Love,JACKSON BROWNE,7/9/83,59,13,15,41,0,0,0,0,7
After The Fall,JOURNEY,7/9/83,62,23,12,41,0,0,0,0,1
Tell Her About It,BILLY JOEL,7/30/83,38,1,18,51,0,0,0,5,23
Human Touch,RICK SPRINGFIELD,7/9/83,70,18,15,26,0,0,0,1,4
Cuts Like A Knife,BRYAN ADAMS,6/11/83,69,15,14,26,0,0,0,1,15
Come Dancing,THE KINKS,5/7/83,90,6,17,47,0,0,0,0,0
"Promises, Promises",NAKED EYES,7/16/83,71,11,20,45,1,0,0,0,0
The Border,AMERICA,6/18/83,82,33,12,33,0,0,0,1,2
Dead Giveaway,SHALAMAR,6/25/83,93,22,20,27,0,0,0,0,2
Fake Friends,JOAN JETT AND THE BLACKHEARTS,7/9/83,68,35,10,-1,0,0,0,0,1
How Am I Supposed To Live Without You,LAURA BRANIGAN,7/2/83,87,12,20,37,0,0,0,0,2
All Time High,RITA COOLIDGE,7/2/83,69,36,13,31,0,0,0,2,3
It's Inevitable,CHARLIE,6/25/83,76,38,11,5,0,0,0,0,0
Making Love Out Of Nothing At All,AIR SUPPLY,7/30/83,62,2,25,61,1,0,0,0,0
Far From Over,FRANK STALLONE,7/30/83,69,10,16,42,0,0,0,0,1
Don't You Get So Mad,JEFFREY OSBORNE,7/16/83,89,25,14,28,0,0,0,0,4
(She's) Sexy + 17,THE STRAY CATS,8/6/83,51,5,15,0,0,0,0,0,0
Baby Jane,ROD STEWART,5/28/83,53,14,14,53,0,0,0,1,15
Pieces Of Ice,DIANA ROSS,6/25/83,72,31,10,6,0,0,1,0,12
Morning Blue,LOUISE TUCKER,6/18/83,78,46,13,-1,0,0,0,0,0
"Tonight, I Celebrate My Love",PEABO BRYSON / ROBERTA FLACK,7/2/83,103,16,30,36,0,0,0,2,8
You're Driving Me Out Of My Mind,THE LITTLE RIVER BAND,7/23/83,81,35,11,0,0,0,0,0,0
Lady Love Me (One More Time),GEORGE BENSON,7/23/83,87,30,13,38,0,0,0,10,25
Kiss The Bride,ELTON JOHN,8/6/83,60,25,12,0,0,0,0,5,34
Hold Me 'Til The Mornin' Comes,PAUL ANKA,6/11/83,106,40,17,41,0,0,0,0,0
Blame It On Love,SMOKEY ROBINSON &amp; BARBARA MITCHELL / HIGH INERGY,7/2/83,79,48,12,-1,0,0,1,1,5
Tip Of My Tongue,THE TUBES,7/23/83,72,52,7,25,0,0,0,0,0
Juicy Fruit,MTUME,6/18/83,92,45,12,54,0,0,0,0,0
I'm Still Standing,ELTON JOHN,5/7/83,56,12,16,0,1,0,0,5,34
Sharp Dressed Man,ZZ TOP,7/16/83,105,56,10,71,3,0,0,0,2
Who's Behind The Door,ZEBRA,7/2/83,101,61,9,33,0,0,0,0,0
Cold Blooded,RICK JAMES,7/30/83,86,40,12,38,1,0,0,1,3
Burning Down The House,THE TALKING HEADS,7/23/83,101,9,21,1,4,0,0,0,0
West Coast Summer Nights,TONY CAREY,6/18/83,110,64,11,2,0,0,0,0,0
Tell Her No / Stranger At My Door,JUICE NEWTON,8/13/83,65,27,11,-1,0,0,0,1,5
The Salt In My Tears,MARTIN BRILEY,5/14/83,107,36,16,13,0,0,0,0,0
How Do You Keep The Music Playing,JAMES INGRAM &amp; PATTI AUSTIN,5/14/83,80,45,17,-1,0,0,0,2,14
Big Log,ROBERT PLANT,8/6/83,86,20,16,54,1,0,0,8,18
Slipping Away,DAVE EDMUNDS,5/7/83,107,39,16,26,0,0,0,0,1
War Games,"CROSBY, STILLS AND NASH",6/25/83,70,45,9,23,0,0,0,0,0
Shiny Shiny,HAYSI FANTAYZEE,7/23/83,88,74,5,18,0,0,0,0,0
Ewok Celebration,MECO,7/2/83,85,60,8,-1,0,0,0,0,1
Wishing (If I Had A Photograph Of You),A FLOCK OF SEAGULLS,5/14/83,83,26,14,50,0,0,0,0,0
Radio Free Europe,R.E.M.,7/23/83,90,78,5,0,0,0,0,0,0
White Wedding,BILLY IDOL,11/27/82,110,108,2,60,2,0,0,0,3
High Time,STYX,8/13/83,81,48,7,23,0,0,0,0,1
The Night,THE ANIMALS,8/13/83,82,48,10,28,0,0,0,0,0
How Can I Refuse,HEART,8/13/83,84,44,11,29,0,0,0,0,4
Miracles,JEFFERSON STARSHIP,8/23/75,82,3,17,49,3,0,0,0,0
Holiday Road,LINDSEY BUCKINGHAM,7/23/83,107,82,7,48,2,0,0,2,8
Rainbow's End,SERGIO MENDES,8/13/83,87,52,8,13,0,0,0,1,6
I Don't Wanna Dance,EDDY GRANT,8/13/83,90,53,7,-1,0,0,0,0,1
Stand By,NATALIE COLE,3/24/79,109,108,2,7,0,0,0,9,21
Maybe This Day,KISSING THE PINK,7/30/83,110,87,6,0,0,0,0,0,0
Don't You Know How Much I Love You,RONNIE MILSAP,8/13/83,95,58,7,22,0,0,0,6,11
Til You And Your Lover Are Lovers Again,ENGELBERT HUMPERDINCK,7/16/83,87,77,5,6,0,0,0,0,2
Do You Compute,DONNIE IRIS,7/2/83,88,64,7,27,0,0,0,0,0
A Million Miles Away,THE PLIMSOULS,7/16/83,109,82,5,38,0,0,0,0,0
Bad Boys,WHAM U.K.,7/30/83,105,60,12,-1,0,0,0,0,2
Message Is You,GARY MYRICK,8/6/83,105,103,2,4,0,0,0,0,0
Teenage Idol,BLACKFOOT,7/30/83,107,103,4,34,0,0,0,0,0
Scarlet Fever,KENNY ROGERS,8/13/83,106,94,3,-1,0,0,0,3,19
Freak-A-Zoid,MIDNIGHT STAR,8/13/83,107,66,9,41,0,0,0,0,0
Living On The Edge,JIM CAPALDI,8/13/83,108,75,7,3,0,0,0,0,0
Cum On Feel The Noize,QUIET RIOT,7/30/83,109,5,28,65,1,0,0,0,0
I Love Rocky Road,WEIRD AL YANKOVIC,8/6/83,106,106,2,29,0,0,0,4,15
Roll With It,EASTON CORBIN,7/31/10,98,55,19,52,0,0,0,0,0
Make Me Lose Control,ERIC CARMEN,5/21/88,78,3,20,51,1,0,0,0,4
Sign Your Name,TERENCE TRENT D'ARBY,5/28/88,72,4,21,49,2,0,0,0,0
1/2/03,LEN BARRY,8/28/65,134,2,19,26,0,0,0,0,1
I Don't Wanna Go On With You Like That,ELTON JOHN,6/18/88,60,2,18,0,0,0,0,5,34
I Don't Wanna Live Without Your Love,CHICAGO,6/4/88,71,3,21,46,0,0,0,1,10
Monkey,GEORGE MICHAEL,7/9/88,42,1,16,41,2,0,0,2,9
Hold On To The Nights,RICHARD MARX,5/21/88,69,1,21,46,0,0,0,1,5
Just Got Paid,JOHNNY KEMP,5/14/88,96,10,21,45,0,0,0,0,1
Love Will Save The Day,WHITNEY HOUSTON,7/2/88,52,9,16,43,0,0,0,6,25
Sweet Child O'Mine,GUNS N'ROSES,6/25/88,76,1,24,-1,0,0,0,0,0
Simply Irresistible,ROBERT PALMER,7/2/88,59,2,20,49,2,0,0,0,6
Perfect World,HUEY LEWIS AND THE NEWS,7/16/88,51,3,15,36,0,0,0,1,6
Rag Doll,FOUR SEASONS,6/20/64,53,1,12,43,1,0,0,0,2
Parents Just Don't Understand,DJ JAZZY JEFF &amp; THE FRESH PRINCE,5/21/88,75,12,19,-1,1,0,0,2,4
When It's Love,VAN HALEN,7/2/88,69,5,19,45,0,0,0,1,3
If It Isn't Love,NEW EDITION,7/2/88,93,7,21,54,2,0,0,0,1
I'll Always Love You,BRENDA HOLLOWAY,8/1/64,122,60,6,5,0,0,0,0,0
The Colour Of Love,BILLY OCEAN,5/28/88,76,17,16,38,0,0,0,1,3
Another Part Of Me,MICHAEL JACKSON,7/23/88,54,11,13,52,0,0,1,13,38
All Fired Up,PAT BENATAR,7/2/88,75,19,17,44,0,0,0,4,9
"Nobody's Fool (Theme From ""Caddyshack II"")",KENNY LOGGINS,7/9/88,68,8,18,31,0,0,0,2,12
It Would Take A Strong Strong Man,RICK ASTLEY,7/16/88,78,10,16,28,0,0,0,0,1
Rush Hour,JANE WIEDLIN,5/7/88,90,9,19,39,0,0,0,0,1
Here With Me,REO SPEEDWAGON,6/25/88,80,20,19,41,0,0,0,0,1
One Good Woman,PETER CETERA,7/23/88,72,4,18,42,0,0,0,1,14
New Sensation,INXS,5/14/88,63,3,17,50,0,0,0,0,3
I Know You're Out There Somewhere,THE MOODY BLUES,6/4/88,98,30,16,33,0,0,0,0,0
Sayin' Sorry (Don't Make It Right),DENISE LOPEZ,6/11/88,96,31,17,-1,0,0,0,0,0
Missed Opportunity,DARYL HALL &amp; JOHN OATES,7/9/88,75,29,11,-1,0,0,0,0,6
Please Don't Go Girl,NEW KIDS ON THE BLOCK,6/25/88,92,10,28,44,0,0,0,0,0
I Don't Want To Be A Hero,JOHNNY HATES JAZZ,7/9/88,76,31,12,41,0,0,0,0,1
I Hate Myself For Loving You,JOAN JETT AND THE BLACKHEARTS,6/25/88,91,8,26,55,0,0,0,0,1
Don't Worry Be Happy,BOBBY McFERRIN,7/30/88,83,1,26,61,2,0,0,10,18
Knocked Out,PAULA ABDUL,6/18/88,93,41,13,34,0,0,0,1,2
Better Be Home Soon,CROWDED HOUSE,7/9/88,85,42,11,35,0,0,0,0,0
Spring Love (Come Back To Me),STEVIE B,7/9/88,89,43,18,-1,0,0,0,0,0
Mercedes Boy,PEBBLES,5/7/88,77,2,18,37,0,0,0,0,2
Look Out Any Window,BRUCE HORNSBY AND THE RANGE,7/23/88,77,35,12,38,0,0,0,3,13
Love Changes (Everything),CLIMIE FISHER,5/14/88,92,23,18,50,0,0,0,0,0
A Nightmare On My Street,DJ JAZZY JEFF &amp; THE FRESH PRINCE,7/30/88,74,15,16,-1,0,0,0,2,4
Don't Be Cruel,BOBBY BROWN,7/23/88,86,8,26,48,0,0,0,1,2
Love Bites,DEF LEPPARD,8/13/88,52,1,23,55,0,0,0,0,0
Summergirls,DINO,7/16/88,92,50,12,20,0,0,0,0,1
Say It's Gonna Rain,WILL TO POWER,6/18/88,85,49,14,31,0,0,0,0,0
Heart Turns To Stone,FOREIGNER,7/16/88,89,56,10,33,0,0,0,0,3
What's On Your Mind (Pure Energy),INFORMATION SOCIETY,7/16/88,90,3,25,47,0,0,0,0,0
The Right Stuff,VANESSA WILLIAMS,7/23/88,82,44,10,25,0,0,0,0,11
Staying Together,DEBBIE GIBSON,8/6/88,84,22,12,27,0,0,0,0,0
Boom! There She Was,SCRITTI POLITTI featuring ROGER,6/18/88,95,53,11,-1,0,0,0,0,0
Inside Outside,COVER GIRLS,7/23/88,87,55,13,34,0,0,0,0,0
Hole In My Heart (All The Way To China),CYNDI LAUPER,7/9/88,81,54,8,-1,0,0,0,2,16
What You See Is What You Get,BRENDA K. STARR,8/6/88,79,24,13,17,0,0,0,0,0
Make It Last Forever,KEITH SWEAT &amp; JACCI McGHEE,7/23/88,92,59,11,-1,1,0,0,0,0
Lost In You,ROD STEWART,5/7/88,76,12,18,32,0,0,0,1,15
Always There For You,STRYPER,7/23/88,84,71,8,24,0,0,0,0,1
Time And Tide,BASIA,7/23/88,96,26,20,29,0,0,0,0,0
"Mary, Mary",RUN DMC,7/30/88,86,75,6,36,0,0,1,0,1
The Dead Heart,MIDNIGHT OIL,8/6/88,88,53,10,47,0,0,0,0,2
Nice'n Slow,FREDDIE JACKSON,7/23/88,93,61,12,-1,0,0,0,0,2
Superstitious,EUROPE,8/13/88,80,31,13,42,0,0,0,0,0
Skin Deep,CHER,7/30/88,90,79,4,11,0,0,0,1,7
Off On Your Own (Girl),AL B. SURE!,8/6/88,93,45,12,32,0,0,0,0,0
Never Tear Us Apart,INXS,8/13/88,86,7,23,54,0,0,0,0,3
I Feel Free,BELINDA CARLISLE,7/30/88,94,88,4,23,0,0,0,0,2
Jackie,BLUE ZONE U.K.,8/13/88,89,54,9,-1,0,0,0,0,0
In Your Soul,COREY HART,6/11/88,79,38,10,20,0,0,0,0,1
Sendin' All My Love,JETS,8/13/88,91,88,4,11,0,0,0,0,1
Long And Lasting Love (Once In A Lifetime),GLENN MEDEIROS,8/13/88,97,68,10,-1,0,0,0,0,0
Stay (I Missed You),LISA LOEB &amp; NINE STORIES,5/7/94,74,1,30,-1,1,0,0,0,0
Fantastic Voyage,COOLIO,6/4/94,75,3,25,37,0,0,0,1,6
Wild Night,JOHN MELLENCAMP with ME'SHELL NDEGEOCELLO,5/28/94,88,3,42,-1,0,0,0,1,14
Can You Feel The Love Tonight,ELTON JOHN,5/21/94,86,4,26,0,0,1,0,5,34
Funkdafied,DA BRAT,6/4/94,65,6,20,50,0,0,0,0,2
Don't Turn Around,ACE OF BASE,5/7/94,61,4,31,52,0,0,0,0,0
"Any Time, Any Place / And On And On",JANET JACKSON,5/28/94,30,2,20,-1,0,0,0,5,26
Shine,COLLECTIVE SOUL,5/7/94,94,11,29,65,2,0,0,0,0
If You Go,JON SECADA,5/7/94,54,10,31,28,0,0,0,2,3
When Can I See You,BABYFACE,6/18/94,70,4,36,54,0,0,0,11,49
Anytime You Need A Friend,MARIAH CAREY,5/28/94,45,12,21,48,0,0,0,5,34
This D.J.,WARREN G,7/23/94,51,9,20,58,1,0,0,0,2
Always In My Heart,TEVIN CAMPBELL,6/25/94,79,20,20,44,0,0,0,0,5
Prayer For The Dying,SEAL,6/11/94,83,21,20,40,0,0,0,4,14
Stroke You Up,CHANGING FACES,7/30/94,47,3,21,43,0,0,0,0,0
Your Body's Calling,R. KELLY,5/14/94,72,13,20,-1,0,0,0,0,0
Back In The Day,AHMAD,5/28/94,87,26,20,41,0,0,0,0,0
The Way She Loves Me,RICHARD MARX,7/16/94,42,20,19,27,0,0,0,1,5
You Better Wait,STEVE PERRY,7/16/94,86,29,16,28,0,0,0,0,3
I'll Make Love To You,BOYZ II MEN,8/13/94,31,1,33,61,2,0,0,4,15
Tootsee Roll,69 BOYZ,7/9/94,100,8,38,49,1,0,0,0,0
Willing To Forgive,ARETHA FRANKLIN,5/14/94,88,26,20,22,0,0,1,18,44
Don't Take The Girl,TIM McGRAW,5/21/94,61,17,20,55,0,0,0,3,20
Booti Call,BLACKSTREET,6/25/94,94,34,20,25,0,0,0,1,1
Funky Y-2-C,THE PUPPIES,7/2/94,91,40,17,-1,0,0,0,0,0
Do You Wanna Get Funky,C+C MUSIC FACTORY,7/30/94,64,40,20,42,0,0,0,0,0
You Let Your Heart Go Too Fast,SPIN DOCTORS,7/16/94,78,42,10,18,0,0,0,0,1
"The Place Where You Belong (From ""Beverly Hills Cop III"")",SHAI,6/4/94,92,34,18,-1,0,0,0,0,0
Fall Down,TOAD THE WET SPROCKET,6/4/94,87,33,17,42,0,0,0,0,0
Bop Gun (One Nation),ICE CUBE featuring GEORGE CLINTON,7/30/94,68,23,20,-1,0,0,0,0,0
Nuttin' But Love,HEAVY D AND THE BOYZ,7/2/94,99,40,20,39,0,0,0,0,4
Nappy Heads,FUGEES,7/2/94,92,49,16,49,0,0,0,2,3
Never Lie,IMMATURE,7/30/94,86,5,26,41,0,0,0,0,0
None Of Your Business,SALT-N-PEPA,7/23/94,73,32,22,48,0,0,0,1,5
Selling The Drama,LIVE,6/4/94,90,43,19,49,0,0,0,0,0
Sending My Love,ZHANE,5/21/94,89,40,20,50,0,0,0,0,0
Thinkin' Problem,DAVID BALL,7/2/94,95,40,12,48,0,0,0,0,1
Backwater,MEAT PUPPETS,6/11/94,89,47,20,51,1,0,0,0,0
I'd Give Anything,GERALD LEVERT,8/6/94,81,28,20,38,0,0,0,1,2
I'm Not Over You,CECE PENISTON,6/18/94,91,41,14,21,0,0,0,0,0
Girls & Boys,BLUR,6/25/94,88,59,15,66,0,0,0,0,1
The Right Kinda Lover,PATTI LABELLE,7/2/94,100,61,16,26,0,0,0,2,13
All I Wanna Do,SHERYL CROW,8/6/94,84,2,33,58,2,0,0,9,31
Afternoons & Coffeespoons,CRASH TEST DUMMIES,7/9/94,89,66,10,36,0,0,0,0,3
Your Love Is So Divine,MIRANDA,6/18/94,86,66,14,-1,0,0,0,0,0
Flava In Ya Ear,CRAIG MACK,8/13/94,68,9,25,54,0,0,0,0,1
Weekend Love,QUEEN LATIFAH,7/23/94,94,70,13,19,0,0,0,0,4
Be My Baby Tonight,JOHN MICHAEL MONTGOMERY,8/6/94,80,73,10,48,0,0,0,0,3
90's Girl,BLACKGIRL,7/2/94,98,71,13,-1,0,0,0,0,0
Afro Puffs,THE LADY OF RAGE,8/13/94,75,57,11,42,1,0,0,0,0
Southernplayalisticadillacmuzik,OUTKAST,7/16/94,88,74,10,51,0,0,0,6,16
Sleeping In My Car,ROXETTE,7/2/94,86,50,8,50,0,0,0,0,0
I'll Remember You,ATLANTIC STARR,6/4/94,94,55,13,-1,0,0,0,0,0
"December 1963 (Oh, What A Night)",FOUR SEASONS,8/13/94,79,14,27,61,0,0,0,0,2
Sweet Sensual Love,BIG MOUNTAIN,8/6/94,91,80,6,26,0,0,0,0,0
I'll Stand By You,PRETENDERS,8/13/94,81,16,30,64,0,0,0,0,4
Romantic Call,PATRA,8/13/94,83,55,16,35,0,0,0,0,0
Maybe Love Will Change Your Mind,STEVIE NICKS,6/18/94,79,57,10,18,0,0,0,2,15
Diary Of A Madman,GRAVEDIGGAZ,7/9/94,85,82,7,35,0,0,0,0,0
On Point,HOUSE OF PAIN,7/30/94,91,85,5,35,0,0,0,0,0
Moving On Up,M PEOPLE,5/7/94,93,34,16,46,1,0,0,0,0
Lucky One,AMY GRANT,8/13/94,90,18,20,26,0,0,0,6,19
When I Give My Love,KEITH SWEAT,8/6/94,98,85,4,31,0,0,0,0,0
"No Guns, No Murder",RAYVON,8/6/94,95,94,4,13,0,0,0,0,0
Love Is Strong,ROLLING STONES,8/13/94,95,91,5,33,0,0,1,2,11
Sweet Potato Pie,DOMINO,4/9/94,92,27,19,2,0,0,0,0,0
Tell Me Where It Hurts,KATHY TROCCOLI,7/9/94,97,88,6,32,0,0,0,0,3
Old To The New,NICE &amp; SMOOTH,7/2/94,90,59,7,-1,0,0,0,0,0
Pon de Replay,RHIANNA,6/11/05,97,2,27,-1,0,0,0,0,0
Don't Cha,THE PUSSYCAT DOLLS featuring BUSTA RHYMES,5/7/05,95,2,40,0,5,0,0,0,0
Let Me Hold You,BOW WOW featuring OMARION,5/28/05,93,4,24,-1,0,0,0,0,0
Lose Control,MISSY ELLIOTT featuring CIARA &amp; FAT MAN SCOOP,5/21/05,86,3,28,-1,0,0,0,0,0
Listen To Your Heart,ROXETTE,8/26/89,64,1,22,68,0,0,0,0,0
Pimpin' All Over The World,LUDACRIS featuring BOBBY VALENTINO,6/11/05,81,9,20,-1,0,0,0,3,20
Get It Poppin',FAT JOE featuring NELLY,6/4/05,88,9,20,24,0,0,0,0,5
Best Of You,FOO FIGHTERS,5/14/05,51,18,21,73,0,0,0,10,25
These Words,NATASHA BEDINGFIELD,7/2/05,100,17,20,66,0,0,0,0,1
Back Then,MIKE JONES,6/4/05,91,22,20,52,0,0,0,0,0
Cool,GWEN STEFANI,7/16/05,86,13,20,56,4,0,0,3,18
Coldplay,SPEED OF SOUND,5/7/05,8,8,20,-1,0,0,0,0,0
As Good As I Once Was,TOBY KEITH,6/4/05,80,28,20,62,0,0,0,0,7
Mississippi Girl,FAITH HILL,6/11/05,85,29,20,49,0,0,0,5,17
Give Me That,WEBBIE featuring BUN B,5/7/05,99,29,20,-1,0,0,0,0,0
Something More,SUGARLAND,5/21/05,99,35,20,49,0,0,0,1,4
Inside Your Heaven,CARRIE UNDERWOOD,7/2/05,1,1,12,45,0,0,0,7,14
Make Her Feel Good,TEAIRRA MARI,6/4/05,98,35,18,34,0,0,0,0,0
How To Deal,FRANKIE J,5/28/05,94,39,19,47,0,0,0,0,1
Must Be Nice,LYFE JENNINGS,6/18/05,89,40,19,57,0,0,0,0,0
La Tortura,SHAKIRA featuring ALEJANDRO SANZ,5/7/05,98,23,31,-1,0,0,0,2,5
Like You,BOW WOW featuring CIARA,8/6/05,63,3,21,36,0,0,0,0,0
Diamonds From Sierra Leone,KANYE WEST,5/21/05,94,43,19,55,0,0,0,21,68
Just The Girl,THE CLICK FIVE,7/30/05,83,11,20,58,0,0,0,0,0
Badd,YING YANG TWINS featuring MIKE JONES &amp; MR. COLLIPARK,7/16/05,92,29,19,-1,0,0,0,0,1
Fast Cars And Freedom,RASCAL FLATTS,5/7/05,86,38,20,55,0,0,0,0,4
So Seductive,TONY YAYO featuring 50 CENT,6/25/05,76,48,15,-1,0,0,0,0,0
A Real Fine Place To Start,SARA EVANS,7/9/05,99,38,20,37,0,0,0,0,0
Outta Control (Remix),50 CENT featuring MOBB DEEP,7/23/05,96,6,19,-1,0,0,0,1,14
Don't Worry 'Bout A Thing,SHEDAISY,7/2/05,90,59,10,31,0,0,0,0,1
Gotta Getcha,JERMAINE DUPRI,7/16/05,100,60,11,34,0,0,0,1,12
Dem Boyz,BOYZ N DA HOOD,6/25/05,97,56,12,48,0,0,0,0,0
Untitled (How Can This Happen To Me),SIMPLE PLAN,5/21/05,95,49,16,-1,0,0,0,0,0
This Is How A Heart Breaks,ROB THOMAS,7/16/05,98,52,20,48,0,0,0,3,10
Play Something Country,BROOKS &amp; DUNN,7/2/05,92,37,17,-1,0,0,0,0,0
And Then What,YOUNG JEEZY featuring MANNIE FRESH,7/23/05,91,67,11,-1,0,0,0,0,4
Do You Want Fries With That,TIM McGRAW,7/16/05,90,59,11,34,0,0,0,3,20
Alcohol,BRAD PAISLEY,7/2/05,89,28,18,51,0,0,0,3,18
Welcome To Jamrock,"DAMIAN ""JR. GONG"" MARLEY",7/30/05,96,55,12,62,0,0,0,0,0
Helena (So Long & Goodnight),MY CHEMICAL ROMANCE,7/9/05,98,33,16,71,0,0,0,0,0
Help Somebody,VAN ZANT,7/16/05,91,66,11,34,0,0,0,0,0
Charlie Last Name: Wilson,CHARLIE WILSON,8/6/05,92,67,14,51,0,0,0,0,12
Trapped In The Closet (Chapter 1 Of 5),R. KELLY,5/7/05,100,22,16,-1,0,0,0,0,0
Right Here,STAIND,6/25/05,85,55,20,55,0,0,0,0,0
Pickin' Wildflowers,KEITH ANDERSON,6/4/05,100,64,12,60,0,0,0,0,0
Don't Lie,BLACK EYED PEAS,8/13/05,81,14,20,49,0,0,0,6,15
Your Body,PRETTY RICKY,8/6/05,88,12,20,60,0,0,0,0,0
Playa's Only,R. KELLY featuring THE GAME,7/9/05,90,65,6,-1,0,0,0,0,0
Redneck Yacht Club,CRAIG MORGAN,8/6/05,100,45,19,62,0,0,0,0,0
Be My Escape,RELIENT K,7/30/05,88,82,4,62,0,0,0,0,1
Gotta Make It,TREY SONGZ featuring TWISTA,8/13/05,89,87,7,-1,0,0,0,0,0
Somebody's Hero,JAMIE O'NEAL,7/30/05,99,51,17,37,0,0,0,0,0
Wordplay,JASON MRAZ,7/16/05,96,96,2,48,0,0,0,2,4
Something To Be Proud Of,MONTGOMERY GENTRY,8/6/05,96,41,20,61,0,0,0,0,1
Go!,COMMON,7/9/05,84,79,6,50,0,0,0,3,19
Wake Me Up When September Ends,GREEN DAY,8/6/05,98,6,27,76,0,0,0,4,17
I'm A King,P$C featuring T.I. &amp; LIL SCRAPPY,9/17/05,96,67,9,-1,0,0,0,0,0
Belly Dancer (Bananza),AKON,8/13/05,98,30,20,47,0,0,0,0,5
Stay With Me (Brass Bed),JOSH GRACIN,8/13/05,99,47,16,-1,0,0,0,0,0
Hicktown,JASON ALDEAN,8/13/05,100,68,13,59,0,0,0,0,4
Last Friday Night (T.G.I.F.),KATY PERRY,6/18/11,63,1,23,72,2,0,0,0,13
Super Bass,NICKI MINAJ,5/14/11,98,3,39,71,1,0,0,0,10
How To Love,LIL WAYNE,6/11/11,69,5,24,68,0,0,0,5,24
Lighters,BAD MEETS EVIL featuring BRUNO MARS,7/2/11,16,4,22,-1,0,0,0,0,0
The Edge Of Glory,LADY GAGA,5/28/11,3,3,24,60,1,0,0,6,17
Otis,JAY-Z &amp; KANYE WEST featuring OTIS REDDING,8/6/11,47,12,20,-1,0,0,1,21,66
If I Die Young,THE BAND PERRY,7/24/10,92,19,28,65,1,0,0,0,0
