Title,Artist,Entry_Date,Entry_Position,Peak_Position,Total_Weeks,Popularity,Movies_TV_feature_count,Oscars_won,Artist_lifetime_grammy_achievement,Artist_grammy_wins,Artist_grammy_nominations
Hearts Of Stone,THE BLUE RIDGE RANGERS,3/31/73,84,37,12,-1,0,0,0,0,0
Ground Hog,BROWNS,4/10/61,100,97,3,4,0,0,0,0,4
Gidget Goes Hawaiian,DUANE EDDY,4/3/61,105,101,2,3,0,0,0,1,2
Are You Sure,BETTY LOGAN,9/7/63,132,132,1,-1,0,0,0,0,0
(Theme From) The Great Imposter,HENRY MANCINI AND HIS ORCHESTRA,3/13/61,115,90,5,-1,0,0,1,20,72
Little Turtle Dove,OTIS WILLIAMS AND HIS CHARMS,3/6/61,103,95,6,-1,0,0,0,3,8
Be My Boy,PARIS SISTERS,4/10/61,105,56,7,5,0,0,0,0,1
Your Goodnight Kiss (Ain't What It Used To Be),GUY MITCHELL,3/20/61,116,106,4,-1,0,0,0,0,0
Love Or Money,THE BLACKWELLS,4/10/61,107,107,1,0,0,0,0,0,0
The Water Was Red,JOHNNY CYMBAL,3/27/61,109,108,3,-1,0,0,0,0,1
You Set My Heart To Music,JOHNNY MATHIS,4/10/61,109,107,2,2,0,0,1,0,1
Nobody Cares (About Me),JEANETTE (BABY) WASHINGTON,4/10/61,110,93,5,-1,0,0,0,0,0
African Waltz,JOHNNY DANKWORTH,4/10/61,111,101,4,4,0,0,0,0,1
Hop Scotch,SANTO &amp; JOHNNY,4/10/61,112,90,3,-1,0,0,0,0,0
Three Little Fishes,BUZZ CLIFFORD,4/10/61,113,102,4,1,0,0,0,0,0
"Little Girl, Little Boy",AL MARTINO,3/13/61,114,109,5,-1,0,0,0,0,0
Pony Train,TITUS TURNER,4/10/61,115,115,1,0,0,0,0,0,0
Girl Of My Best Friend,RAL DONNER,4/10/61,116,19,12,12,0,0,0,0,0
Tragedy,FLEETWOODS,4/10/61,117,10,13,25,0,0,0,0,0
Jenny,JOHNNY MATHIS,4/10/61,118,118,1,1,0,0,1,0,1
Halfway To Paradise,TONY ORLANDO,4/10/61,119,39,11,8,0,0,0,0,1
My Kind Of Girl,MATT MONRO,4/10/61,120,18,21,20,0,0,0,0,0
I'm Telling You Now,FREDDIE AND THE DREAMERS,3/13/65,71,1,11,25,1,0,0,0,0
Stop! In The Name Of Love,GLEE CAST,11/27/10,38,38,1,39,0,0,0,0,1
Can't You Hear My Heartbeat,HERMAN'S HERMITS,1/30/65,85,2,15,33,0,0,0,0,0
