Song,Artist,Endurance_Score,Predicted_Endurance_Score
Wrong Baby Wrong,MARTINA McBRIDE,0.3105426866937205,0.47958788360044236
Stick To The Status Quo,HIGH SCHOOL MUSICAL CAST,0.5202695828421162,0.4993146537676829
1/2/03,LEN BARRY,0.2602683312532633,0.3257157241892674
All Eyez,THE GAME featuring JEREMIH,0.6691403682788594,0.3551423085886342
Slipped Tripped And Fell In Love,CLARENCE CARTER,0.07000116552903586,0.17926466902369861
I Don't Want To Be A Hero,JOHNNY HATES JAZZ,0.4104128475499457,0.2829475441145216
It's Raining Again,SUPERTRAMP,0.4187981414147897,0.39756534809332944
Promise,ROMEO SANTOS featuring USHER,0.7130753858125969,0.4004930508753948
No Complaints,METRO BOOMIN featuring OFFSET &amp; DRAKE,0.7955305208697788,0.4177358657929664
"Mr. Sun, Mr. Moon",PAUL REVERE AND THE RAIDERS featuring MARK LINDSEY,0.3200160871383429,0.2523166800067382
There Comes A Time,JACK SCOTT,0.02000038308248295,0.1899061567167806
It Don't Matter To Me,BREAD,0.4402045144100048,0.28647884096968623
Better Place To Be,HARRY CHAPIN,0.2500822320159498,0.24549836607156028
Tennessee Flat-Top Box,JOHNNY CASH,0.4408820270650072,0.23957624010500872
Sangria,BLAKE SHELTON,0.6984786448091573,0.5313750269125189
It's Getting Better All The Time,BROOKS &amp; DUNN,0.3603859198983772,0.48429169833870656
Can't Hold Us Down,CHRISTINA AGUILERA feat LIL' KIM,0.5936102493526191,0.6669149427903005
Did You Ever Have To Make Up Your Mind,LOVIN' SPOONFUL,0.36002218622083704,0.28754001724931555
Dark Necessities,RED HOT CHILI PEPPERS,0.7675892326907432,0.5012681781878803
Anyway You Want It,ENCHANTMENT,0.05000121204785589,0.12386226509959983
Hit Me With Your Best Shot,PAT BENATAR,0.602240022369077,0.6329333927045013
I Still Believe,BRENDA K. STARR,0.4107718156069679,0.418219033137322
Just A Little Bit,ROY HEAD,0.010007938901826368,0.14965872765588425
You Are Not Alone,MICHAEL JACKSON,0.6465688796093684,0.5713167366033376
Wild Things,ALESSIA CARA,0.7033925696513574,0.5740218617283952
Just A Simple Melody,PATTI PAGE,0.14000025608610428,0.12593853085376475
A Real Mother For Ya,"JOHNNY ""GUITAR"" WATSON",0.030389881208496818,0.31980906637550904
Little Sad Eyes,THE CASTELLS,0.020002036826535025,0.12775711340656254
Goin' On,BEACH BOYS,0.12000688571574088,0.22590323252616928
Hypnotized,LINDA JONES,0.3704786249288745,0.23337507831608653
The Long Run,EAGLES,0.5400161010939889,0.4402530674430101
Save Up All Your Tears,CHER,0.3107262597265122,0.39275705954446716
Satin Sheets,THE BELLAMY BROTHERS,0.2900178108932191,0.22061582313563421
Heaven Help Us All,STEVIE WONDER,0.3000372625052207,0.4285486430242895
The Other Man's Grass Is Always Greener,PETULA CLARK,0.12004803626393967,0.3177142822442016
Theme From Raging Bull,JOEL DIAMOND,1.0948669482327878e-05,0.14951507424495797
Mr. Melody,NATALIE COLE,0.25000544177156714,0.32310799626720094
I'm Not Gonna Teach Your Boyfriend How To Dance With You,GLEE CAST,0.3706034079421001,0.39659327602912153
Whiskey Lullaby,BRAD PAISLEY &amp; ALISON KRAUSS,0.6674606267399541,0.5370274532793207
I Don't Want To Cry,CHUCK JACKSON,0.1900377981694333,0.22414511578501595
I Don't Wanna Cry,RONNIE DYSON,0.08000330632513365,0.23933076167805384
I Believed It All,THE POZO-SECO SINGERS,0.010000211428037038,0.16473125644161016
If I Told You,DARIUS RUCKER,0.6850257842294389,0.4270938156567826
Set You Free,3OH!3,0.4304385478024479,0.38615866761331913
Boo Boo Stick Beat,CHET ATKINS,0.18000284229990385,0.24827367161345698
Bee-Bom,SAMMY DAVIS JR.,0.1200029302204737,0.0824359969507708
Dancin' Holiday,THE OLYMPICS,0.020000961544010026,0.22014369772799167
Like Flames,BERLIN,0.2802214270248091,0.23330423658876925
Nobody Knows You When You're Down And Out,NINA SIMONE,0.3200258156191758,0.15301626007119856
Go Ahead And Cry,RIGHTEOUS BROTHERS,0.19000186493949506,0.24542561941230048
Gonna Love You Right,AFTER 7,0.2800881680499798,0.18035041800615528
Anywhere With You,RUBBER RODEO,0.0500038331507705,0.19353990040726896
I'm Not Giving You Up,GLORIA ESTEFAN,0.21005505525609994,0.3412435705323684
Too Good At Goodbyes,SAM SMITH,0.8586067437885422,0.5322983952596725
A Place In The Sun,PABLO CRUISE,0.3700619360873647,0.2649841315184964
Call My Name,PRINCE,0.06004262286885274,0.5820964121426062
Everybody Wants To Go To Heaven,KENNY CHESNEY,0.4605591804065505,0.5825622135146123
I've Been Lovin' You,EASY STREET,0.010000274693632278,0.15586996717129092
