Song,Artist,count
(I Know) I'm Losing You,The-Temptations,1
(I Love You) For Sentimental Reasons,Ella-Fitzgerald,1
(I Love You) For Sentimental Reasons,King-Cole-Trio,1
(I Never Promised You A) Rose Garden,Lynn-Anderson,2
(I Never) Been Here Before,Venus-Infers,1
(I'm A) Road Runner,Humble-Pie,1
(I'm Gonna) Split This Room In Half,Uncle-Kracker,1
(I'm Gonna) Steal Your Girlfriend,Teen-Machine,1
(I'm Your) Hoochie Coochie Man,Muddy-Waters,1
(I've Got A Woman In) San Angelo,The-Cornell-Hurd-Band,1
(I've Got A) Golden Ticket,Jack-Albertson-and-Peter-Ostrum,1
(I've Got) Beginner's Luck,Ella-Fitzgerald,1
(I've Got) Beginner's Luck,George-Gershwin-and-Ira-Gershwin,1
(I've Got) Trouble In Mind,The-Liminanas,1
(I've Had) The Time Of My Life,Bill-Medley-and-Jennifer-Warnes,1
(I've Had) The Time Of My Life,Bill-Medley-and-amp-Jennifer-Warnes,1
(I've Had) The Time Of My Life,Sam-and-amp-Quinn-originally-by-Bill-Medley-and-amp-Jennifer-Warnes,1
(I've Had) The Time of My Life,Bill-Medley-and-Jennifer-Warnes,3
(I've Had) The Time of My Life,Jennifer-Warnes-and-Bill-Medley,1
(I've Had) The Time of My Life [Remastered],Bill-Medley-and-Jennifer-Warnes,1
(If You're Wondering If I Want You To) I Want You To,Weezer,2
(If) You Want Trouble,Nick-Waterhouse,2
(In the Evening) When the Sun Goes Down,Gary-Clark-Jr-and-Junkie-XL,1
(It Ain't Nothin' But a) House Party,The-J-Geils-Band,1
(It Wonâ€™t Be Long) And Iâ€™ll Be Hating You,Johnny-PayCheck,1
(It's) Hairspray,James-Marsden,1
(Keep Feeling) Fascination,Human-League,2
(Keep Feeling) Fascination,The-Human-League,1
(Let Me Be Your) Teddy Bear,Aaron-Johnson,1
(Love Is Like A) Heat Wave,Martha-Reeves-and-The-Vandellas,1
(Mama) You Got to Love Your Negro Man,John-C-Reilly,1
(Man Oh Man) I Want To Go Back,The-Impressions,1
(Meet) The Flintstones,Hoyt-Curtin,1
(No) Vacancy,Sam-Petty,2
(Not Just) Knee Deep,Funkadelic,1
(Not So) Sad And Lonely,DJ-Shadow,1
(Nothing But) Flowers,Talking-Heads,1
(Now and Then There's) A Fool Such As I,Rodney-Crowell,1
(Oh No! Not) The Beast Day,Marsha-Hunt,1
(Oh) Pretty Woman,Van-Halen,1
(Remember Me) I'm The One Who Loves You,Dean-Martin,1
(Shake Shake Shake) Shake Your Booty,KC,1
(She Can) Do That,David-Bowie-and-BT,1
(She's) Some Kind of Wonderful,Andrew-Strong,1
(Sittin' On) The Dock Of The Bay,Billy-Valentine-and-The-Forest-Rangers,1
(Sittin' On) The Dock of The Bay,Otis-Redding,1
(Sittin' On) The Dock of the Bay,Otis-Redding,1
(So I'll Sit Here) Waiting,The-Like,2
(So Outta Reach),Kurt-Vile,1
(Sounds Kind of) Fruity,Tangerine-Dream-Woody-Jackson-The-Alchemist-Oh-No-and-DJ-Shadow,1
(Splash) Turn Twist,Jimmy-Eat-World,1
(The End),Levi-Weaver,1
(The Forgotten People),Thievery-Corporation,1
(The Gang That Sang) Heart of My Heart,Lou-Monte,1
(The Legend of) Miss Baltimore Crabs,Michelle-Pfeiffer,1
(There'll Be Bluebirds Over) The White Cliffs of Dover,Eric-Rogers-Chorus-And-Orchestra,2
(There's Gotta Be) More to Life,Stacie-Orrico,1
(There's No Place Like) Home For The Holidays,Angela-McCluskey,1
(There's No Place Like) Home for the Holidays,Joy-Williams,2
(There's) Always Something There to Remind Me,Brian-Whitman,1
(These Are) The Young Years,Floyd-Cramer,1
(They Long To Be) Close To You,Sally-Stevens,1
(This Is For The) Better Days,A-Band-of-Bees,1
(Uh) Yah Dut,Knitwit,1
(Untitled) Love Song,Romany-Rye,1
(Walkin' Through the) Sleepy City,The-Parting-Gifts,1
(Walking On) Landmines,Ashtar-Command,1
(We Ain't Got) Nothing Yet,The-Blues-Magoos,1
(We're Gonna) Rock Around the Clock,Bill-Haley-and-His-Comets,1
(What a) Wonderful World,Sam-Cooke,1
(What a) Wonderful World),Sam-Cooke,1
"(What's So Funny 'Bout) Peace, Love and Understanding",Nick-Lowe,1
(When You Gonna) Give It Up to Me,Sean-Paul,1
(White Man) In Hammersmith Palais,The-Clash,3
(Who Discovered) America,Ozmatli,1
(You Come In) Burned,The-Dandy-Warhols,1
(You Got to Pray to the Lord) When You See Those Flying Saucers,The-Buchanan-Brothers,1
(You Gotta Walk) Don't Look Back,Peter-Tosh-and-Mick-Jagger,1
(You Gotta Walk) Don't Look Back,Peter-Tosh-with-Mick-Jagger,1
(You Gotta) Fight for Your Right (To Party),Beastie-Boys,1
(You Make Me Feel Like) A Natural Woman,Aretha-Franklin,1
(You Make Me So) Hard,Various-Artists,1
(You Make Me) So Hard,Lil-Nutsack,1
(You Should Be) Doubly (Gratified),Mike-Doughty,1
(You're The) Devil In Disguise,Elvis-Presley,1
(You're) Having My Baby,Finn-originally-by-Paul-Anka,1
(You're) Having My Baby,Paul-Anka,1
(You're) Having My Baby (feat. Odia Coates),Paul-Anka,1
(You're) Timeless to Me,John-Travolta-and-Christopher-Walken,1
(You've Got) Personality,Lloyd-Price,1
(You) Got What I Need,Freddie-Scott,1
(Your Love Keeps Lifting Me) Higher & Higher,Jackie-Wilson,2
(Your Love Keeps Lifting Me) Higher and Higher,Jackie-Wilson,1
...And the World Laughs With You (feat. Thom Yorke),Flying-Lotus,1
...Baby One More Time,Bowling-For-Soup,1
...Baby One More Time,Britney-Spears,4
...Baby One More Time,Rachel-originally-by-Britney-Spears,1
...Baby One More Time,Travis,1
...Baby One More Time (Intro),Chad-Michael-Murray,1
...I Play the Orchestra,Daniel-Pemberton,1
...On The Radio (Remember The Days),Nelly-Furtado,1
"...P. Sherman, 42 Wallaby Way, Sydney...",Thomas-Newman,1
...Safe Now,Mark-Isham,1
...Shells,Thomas-Newman,1
.357,New-Vo-Riche,1
"007 (From ""From Russia With Love"")",The-City-of-Prague-Philharmonic-Orchestra,1
02.20 Boy,Suicide-Sports-Club,1
"0=100% (Party, Pt. 2) [Konstantine Pope Remix]",George-Fenton,1
0_0,Hot-Sugar,1
1,Joy-Zipper,1
1 2 & 1 2,Gang-Starr-and-M-O-P,1
1 A.M.,Beautiful-Creatures,1
1 Thing,Amerie,3
1 Vs 100,Dasha-Charusha,1
1% of Something,Ramin-Djawadi,1
"1, 2, 3 Turnaround",Christian-TV,1
"1, 2, 3, 4",Plain-White-T-s,2
"1,2,3",Jessica-Fichot,1
1-2-3,Ithamar-Enriquez,1
1-2-3,Nikki-Cleary,1
1-2-3 Let's Go,FCD-Focus-Music,1
1.0_7-waitfortheQ.ogg,Mac-Quayle,1
1.0_8-whatsyourask.m4p,Mac-Quayle,1
1.2%,Randy-Newman,1
1.5_1-askingthe1mpossible.m4p,Mac-Quayle,1
1.5_6-veraliber4ted.aiff,Mac-Quayle,1
1.8_1-imcrazy.aiff,Mac-Quayle,1
1/1 : Ambient1- Music for Airports,Brian-Eno,1
10,Antonio-Pinto,1
10 000 Reasons,Keren-DeBerg,1
10 000 Stones,Adrianne,1
10 A.M. Automatic,The-Black-Keys,1
10 AM Automatic,The-Black-Keys,1
10 Cloverfield Lane,Bear-McCreary,1
10 Haunted Hotels,Gabriel-Yared,1
10 Seconds Down,Sugar-Ray,2
10 Stories Down,Michelle-Featherstone,1
10 Years Older,Jarrod-Gorbel,1
10 Years Score Suite,Chad-Fischer,1
10 Years from Today,Wet-Hot-American-Summer-Cast,1
"10,000 Emerald Pools",BORNS,4
"10,000 Lovers",Ida-Maria,1
"10,000 Miles",Lily-Kershaw,1
"10,000 Miles",Sleeping-At-Last,1
10-Hut Booty,DDP,1
100 Black Coffins,Rick-Ross,1
100 Dollar Bills,Cee-Tha-Rebel,1
100 Doses,Cliff-Martinez,1
100 Lovers,Tennis,1
100 Million Miles,Monster-Magnet,1
100 Other Lovers,DeVotchKa,1
100 Roses,Jazz-Cartier,1
100 Yard Dash,Raphael-Saadiq,2
100 Years,Five-for-Fighting,3
100$ Bill,JAY-Z,1
100$ Bill,The-Bryan-Ferry-Orchestra,1
100% Pure Love,Crystal-Waters,1
"100,000 Baseball Bats",Dasha-Charusha,1
"100,000 Baseball Bats Interlude",Akan,1
100/0 (Snowdays Forever),A-Sunny-Day-in-Glasgow,1
1000 Boys,Matt-Duncan,1
1000 Faces,Terra-Naomi,1
1000 Nights,FRENSHIP,1
1000 Nights,Nickel,1
1000 Volts,John-Powell,1
1000X (feat. Broods),Jarryd-James,2
1001 Robots,Marco-Beltrami,1
100hm,Hudson-Mohawk,1
100m Backstroke,Josh-Rouse,1
101,Albert-Hammond-Jr,1
101 (feat. Joe Newman),Portico,1
10538 Overture,Electric-Light-Orchestra,1
107 Degrees,Citizen-Cope,1
10:35 I Turn Off Camera 3,David-Holmes,1
10AM / Bowlegged and Bilingual,Theodore-Shapiro-and-Craig-Wedren,1
10AM Automatic,Black-Keys,1
"11, 12 & 13",David-Holmes,1
11-7 (Carnival Party Time),Pete-Campbell,1
11/22,Buddy,3
11:34 (Hell O'clock),The-Brass-Action,1
11pm Beijing ,5-Alarm-Music,1
11th Dimension,Julian-Casablancas,4
12,Alexi-Murdoch,2
12 Days Of Christmas,John-Cantwell,1
12 Days Of Christmas (instrumental),Jay-Gruska,1
12 Days of Christmas,Bud-Guin,1
12 Days of Christmas,Frederic-Austin,1
12 Gauge,Bundle-of-Hiss,1
1200 Miles,Cary-Ann-Hearst,1
123 Stop,The-Postelles,1
1234,Kevin-Morby,1
12:15 AM,The-Deekompressors,1
12:59 Lullaby,Bedouin-Soundclash,1
13 Hours,Lorne-Balfe,1
13 Never Changes,Michael-Wandmacher-and-Lisbeth-Scott,1
13 Sins (Opening),Michael-Wandmacher-and-Lisbeth-Scott,1
13 Sins (Reprise),Michael-Wandmacher-and-Lisbeth-Scott,1
13 States,Michael-Meanwhile,1
13th Floor,Mere-Mortals,2
14 Minutes,Steve-Jablonsky,1
14K,Teena-Marie,1
15 Hours,The-Dejas,1
15 Minutes,The-Yeah-You-s,1
15 Step,Radiohead,1
16,Dasha-Charusha,2
16 Below,Light-FM,1
16 Days,Whiskeytown,1
16 Shells From a Thirty-Ought Six,Tom-Waits,1
16 Years,Phantogram,1
1600 Armadillos,The-MiGs,1
17,Youth-Lagoon,1
17 Creston Lane,Paul-Haslinger,1
17 Crimes,AFI,1
17 Girls In a Row,Steel-Panther,1
17 Years Down,Wonderful-Johnson,1
174 Hours,Jeff-Russo-and-The-Prague-FILMharmonic-Orchestra,1
1750 (Outro),Richard-Spaven-Vincent-Helbers-and-Jonas-Lonnas,1
18 & Life,Skid-Row,1
18 Counties,Moreland-and-Arbuckle,1
"18 Morceaux, Op. 72: No. 2, Berceuse (Arr. for Theremin & Piano)",Clara-Rockmore-and-Nadia-Reisenberg,1
18 Summers Old,The-Good-Looks,1
18 With A Bullet,Pete-Wingfield,1
180Db_[130],Aphex-Twin,1
"1812 Festival Overture, Op. 49: 1812 Overture, Op. 49",Adrian-Leaper-and-Royal-Philharmonic-Orchestra,1
1812 Overture (Opus 49),Pyotr-Ilyich-Tchaikovsky,1
1880 or So,Television,1
18th Variation from Rapsodie On a Theme of Paganini,Elizabeth-Buccheri,1
19-2000,Gorillaz,2
1901,Phoenix,6
1936,PHOX,1
1940,The-Submarines,1
1957,Milo-Greene,1
1963,Rachael-Yamagata,1
1963,Rachel-Yamagata,1
1969,Dr-Hollywood,1
1969,The-Stooges,1
1969 - We Came In Peace,David-Arnold-and-Nicholas-Dodd,1
1970,The-Stooges,1
1975,Paul-Oakenfold,1
1976,Hans-Zimmer-and-Benjamin-Wallfisch,1
1976,RJD2,1
1977,Ana-Tijoux,2
1979,The-Smashing-Pumpkins,1
1983,Neon-Trees,2
1984 Commercial,John-Debney,1
1990's Theme,Journey,1
1998,Chet-Faker,1
1998. The New Mac.,Daniel-Pemberton,1
1999,Lee-Richardson-Tom-Ford-Jonathan-Murrill-and-James-Cocozza,1
19th Nervous Breakdown,The-Rolling-Stones,1
